Focus Area,Space Type,School Level,Required,Minimum Surveys,Focus Area (Scoring),Space Type Weight,Focus Area Weight,Score Code
Arrival Experience and Campus Organization,Entry Experience,ES,Y,1,Arrival Experience and Campus Organization,12,6,ME
Arrival Experience and Campus Organization,Campus,ES,Y,1,Arrival Experience and Campus Organization,12,6,CA
Administration,Admin Offices,ES,Y,2,Administration,9,6,AD
Administration,Community Partners Suite,ES,Y,1,Administration,6,6,CP
Administration,Mental Wellness and Counseling Suite,ES,Y,1,Administration,12,6,CO
Neighborhoods,Professional Learning Center,ES,Y,3,Administration,9,6,PL
Studios,Early childhood studio,ES,Y,1,Studios,12,12,PK
Studios,Early childhood special education studio,ES,Y,1,Special Education,12,12,PS
Studios,Tranditional Studio,ES,Y,8,Studios,12,12,ST
Studios,SPED Flex Studio,ES,Y,1,Special education,12,12,SP
Special Education,Special Education Suite,ES,Y,1,Special Education,12,12,SU
Special Education,Sensory Motor Lab,ES,Y,1,Special education,9,12,SN
Special Education,Life Skills Studio,ES,N,0,Special education,3,12,LS
Studios,Art,ES,Y,1,Studios,12,12,AR
Studios,Music Studio,ES,Y,1,Studios,12,12,MU
Studios,Maker Space,ES,Y,1,Studios,9,12,MS
Studios,Science,ES,N,0,Studios,3,12,SC
Neighborhoods,Open Collaboration,ES,Y,3,Neighborhoods,12,9,OC
Neighborhoods,Group Room,ES,Y,3,Neighborhoods,9,9,SG
Neighborhoods,Neighborhood,ES,Y,3,Neighborhoods,12,9,NE
Neighborhoods,Early Childhood Neighborhood,ES,Y,1,Neighborhoods,12,9,EN
Shared Spaces,ES Gymnasium,ES,Y,1,Shared Spaces,12,9,GY
Shared Spaces,Library Media Center,ES,Y,1,Shared Spaces,12,9,MC
Shared Spaces,Dining Commons,ES,Y,1,Shared Spaces,12,9,FS
Shared Spaces,Kitchen,ES,Y,1,Shared Spaces,6,9,KI
Outdoor,Outdoor Spaces,ES,Y,1,Outdoor,12,9,OS
Arrival Experience and Campus Organization,Entry Experience,MS,Y,1,Arrival Experience and Campus Organization,12,6,ME
Arrival Experience and Campus Organization,Campus,MS,Y,1,Arrival Experience and Campus Organization,12,6,CA
Administration,Main Admin Suite,MS,Y,1,Administration,12,6,MA
Administration,Admin Offices,MS,Y,2,Administration,9,6,AD
Administration,Community Partners Suite,MS,Y,1,Administration,6,6,CP
Administration,Mental Wellness and Counseling Suite,MS,Y,1,Administration,12,6,CO
Neighborhoods,Professional Learning Center,MS,Y,6,Administration,9,6,PL
Studios,Tranditional Studio,MS,Y,12,Studios,12,12,ST
Studios,SPED Flex Studio,MS,Y,2,Special Education,12,12,SP
Special Education,Special Education Suite,MS,Y,1,Special Education,12,12,SU
Special Education,Sensory Motor Lab,MS,Y,1,Special Education,9,12,SN
Special Education,Vocational Lab,MS,Y,1,Special education,12,12,VO
Studios,Science,MS,Y,2,Studios,12,12,SC
Studios,Science Prep Room,MS,Y,2,Studios,6,12,PR
Visual Arts,2D Art Studio,MS,Y,1,Visual Arts,12,9,A2
Visual Arts,3D Art Studio,MS,Y,1,Visual Arts,12,9,A3
Visual Arts,Digital Art Studio,MS,Y,1,Visual Arts,12,9,DI
Studios,Music Studio,MS,N,0,Studios,6,12,MU
