CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-TRADITIONAL-STUDIO-SIZE,Studios,SPT-TRADITIONAL-STUDIO,Size,12,Assumed,10,True
CAT-TRADITIONAL-STUDIO-FUNCTION,Studios,SPT-TRADITIONAL-STUDIO,Function,12,Source,20,True
CAT-TRADITIONAL-STUDIO-INFRASTRUCTURE,Studios,SPT-TRADITIONAL-STUDIO,Infrastructure,6,Source,30,True
CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,Studios,SPT-TRADITIONAL-STUDIO,Occupant Experience,12,Source,40,True
CAT-TRADITIONAL-STUDIO-AMENITIES,Studios,SPT-TRADITIONAL-STUDIO,Amenities,9,Source,50,True
CAT-OUTDOOR-SPACES-SIZE,Outdoor,SPT-OUTDOOR-SPACES,Size,12,Assumed,10,True
CAT-OUTDOOR-SPACES-AMENITIES,Outdoor,SPT-OUTDOOR-SPACES,Amenities,12,Source,20,True
CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE,Outdoor,SPT-OUTDOOR-SPACES,Occupant Experience,12,Source,30,True
CAT-OUTDOOR-SPACES-FUNCTION,Outdoor,SPT-OUTDOOR-SPACES,Function,12,Source,40,True
CAT-OUTDOOR-SPACES-INFRASTRUCTURE,Outdoor,SPT-OUTDOOR-SPACES,Infrastructure,6,Source,50,True
CAT-ADMIN-OFFICES-SIZE,Arrival/Administration,SPT-ADMIN-OFFICES,Size,12,Assumed,10,True
CAT-ADMIN-OFFICES-FUNCTION,Arrival/Administration,SPT-ADMIN-OFFICES,Function,12,Source,20,True
CAT-ADMIN-OFFICES-INFRASTRUCTURE,Arrival/Administration,SPT-ADMIN-OFFICES,Infrastructure,6,Source,30,True
CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-ADMIN-OFFICES,Occupant Experience,12,Source,40,True
CAT-ADMIN-OFFICES-AMENITIES,Arrival/Administration,SPT-ADMIN-OFFICES,Amenities,9,Source,50,True
CAT-MAIN-ADMIN-SUITE-SIZE,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Size,12,Assumed,10,True
CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-MAIN-ADMIN-SUITE,Occupant Experience,12,Source,20,True
CAT-COMMUNITY-PARTNERS-SIZE,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Size,12,Assumed,10,True
CAT-COMMUNITY-PARTNERS-FUNCTION,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Function,12,Source,20,True
CAT-COMMUNITY-PARTNERS-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Occupant Experience,12,Source,30,True
CAT-COMMUNITY-PARTNERS-AMENITIES,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Amenities,9,Source,40,True
CAT-COMMUNITY-PARTNERS-INFRASTRUCTURE,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE,Infrastructure,i,Source,50,True
CAT-MENTAL-WELLNESS-AN-SIZE,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-SUI,Size,12,Assumed,10,True
CAT-MENTAL-WELLNESS-AN-FUNCTION,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-SUI,Function,12,Source,20,True
CAT-MENTAL-WELLNESS-AN-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-SUI,Occupant Experience,12,Source,30,True
CAT-MENTAL-WELLNESS-AN-AMENITIES,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-SUI,Amenities,9,Source,40,True
CAT-MENTAL-WELLNESS-AN-INFRASTRUCTURE,Arrival/Administration,SPT-MENTAL-WELLNESS-AND-COUNSELING-SUI,Infrastructure,i,Source,50,True
CAT-PROFESSIONAL-LEARN-SIZE,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Size,12,Assumed,10,True
CAT-PROFESSIONAL-LEARN-FUNCTION,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Function,12,Source,20,True
CAT-PROFESSIONAL-LEARN-INFRASTRUCTURE,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER,Infrastructure,6,Source,30,True
