SubcategoryID,CategoryID,SubcategoryName,SubcategoryWeight,DisplayOrder,IsActive,Description
SUB-COUNSELING-SUITE-FUNCTION-GENERAL,CAT-COUNSELING-SUITE-FUNCTION,General,1,10,True,General within Function.
SUB-COUNSELING-SUITE-FUNCTION-ADJACENCIES,CAT-COUNSELING-SUITE-FUNCTION,Adjacencies,1,20,True,Adjacencies within Function.
SUB-COUNSELING-SUITE-FUNCTION-LAYOUT,CAT-COUNSELING-SUITE-FUNCTION,Layout,1,30,True,Layout within Function.
SUB-COUNSELING-SUITE-FUNCTION-SAFETY,CAT-COUNSELING-SUITE-FUNCTION,Safety,1,40,True,Safety within Function.
SUB-COUNSELING-SUITE-INFRASTRUCTURE-LIGHTING,CAT-COUNSELING-SUITE-INFRASTRUCTURE,Lighting,1,10,True,Lighting within Infrastructure.
SUB-COUNSELING-SUITE-INFRASTRUCTURE-STORAGE,CAT-COUNSELING-SUITE-INFRASTRUCTURE,Storage,1,20,True,Storage within Infrastructure.
SUB-COUNSELING-SUITE-ENVIRONMENTAL-QUALITY-OCCUPANT-COMFORT,CAT-COUNSELING-SUITE-ENVIRONMENTAL-QUALITY,Occupant Comfort,1,10,True,Occupant Comfort within Environmental Quality.
SUB-COUNSELING-SUITE-FF-E-FURNITURE,CAT-COUNSELING-SUITE-FF-E,Furniture,1,10,True,Furniture within FF&E.
SUB-COUNSELING-SUITE-FF-E-FLOORING,CAT-COUNSELING-SUITE-FF-E,Flooring,1,20,True,Flooring within FF&E.
SUB-ADMIN-OFFICE-FUNCTION-LAYOUT,CAT-ADMIN-OFFICE-FUNCTION,Layout,1,10,True,Layout within Function.
SUB-ADMIN-OFFICE-INFRASTRUCTURE-LIGHTING,CAT-ADMIN-OFFICE-INFRASTRUCTURE,Lighting,1,10,True,Lighting within Infrastructure.
SUB-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY-AESTHETICS,CAT-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY,Aesthetics,1,10,True,Aesthetics within Environmental Quality.
SUB-ADMIN-OFFICE-INFRASTRUCTURE-DAYLIGHTING,CAT-ADMIN-OFFICE-INFRASTRUCTURE,Daylighting,1,20,True,Daylighting within Infrastructure.
SUB-ADMIN-OFFICE-INFRASTRUCTURE-STORAGE,CAT-ADMIN-OFFICE-INFRASTRUCTURE,Storage,1,30,True,Storage within Infrastructure.
SUB-ADMIN-OFFICE-INFRASTRUCTURE-POWER-SOURCES,CAT-ADMIN-OFFICE-INFRASTRUCTURE,Power Sources,1,40,True,Power Sources within Infrastructure.
SUB-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY-OCCUPANT-COMFORT,CAT-ADMIN-OFFICE-ENVIRONMENTAL-QUALITY,Occupant Comfort,1,20,True,Occupant Comfort within Environmental Quality.
SUB-ADMIN-OFFICE-FUNCTION-SAFETY,CAT-ADMIN-OFFICE-FUNCTION,Safety,1,20,True,Safety within Function.
SUB-ADMIN-OFFICE-FF-E-FURNITURE,CAT-ADMIN-OFFICE-FF-E,Furniture,1,10,True,Furniture within FF&E.
SUB-ADMIN-OFFICE-FF-E-FLOORING,CAT-ADMIN-OFFICE-FF-E,Flooring,1,20,True,Flooring within FF&E.
SUB-ADMIN-OFFICE-INFRASTRUCTURE-GENERAL,CAT-ADMIN-OFFICE-INFRASTRUCTURE,General,1,50,True,General within Infrastructure.
