OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-ST-001-01,ST-001,ST-001a,Yes,1,SingleResponse,SR-ST-001-ST-001A,False,10,True
OPT-ST-001-02,ST-001,ST-001a,No,0,SingleResponse,SR-ST-001-ST-001A,False,20,True
OPT-ST-001-03,ST-001,ST-001a,Unable to assess (note reason),,SingleResponse,SR-ST-001-ST-001A,True,30,True
OPT-ST-002-01,ST-002,ST-002a,Yes,1,SingleResponse,SR-ST-002-ST-002A,False,10,True
OPT-ST-002-02,ST-002,ST-002a,No,0,SingleResponse,SR-ST-002-ST-002A,False,20,True
OPT-ST-002-03,ST-002,ST-002a,Unable to assess (note reason),,SingleResponse,SR-ST-002-ST-002A,True,30,True
OPT-ST-003-01,ST-003,ST-003a,Yes,1,SingleResponse,SR-ST-003-ST-003A,False,10,True
OPT-ST-003-02,ST-003,ST-003a,No,0,SingleResponse,SR-ST-003-ST-003A,False,20,True
OPT-ST-003-03,ST-003,ST-003a,Unable to assess (note reason),,SingleResponse,SR-ST-003-ST-003A,True,30,True
OPT-ST-004-01,ST-004,ST-004a,The studio layout allows students to work outside the primary instructional area,1,SingleResponse,SR-ST-004-ST-004A,False,10,True
OPT-ST-004-02,ST-004,ST-004b,The studio can support multiple learning activities of different group sizes simultaneously,1,SingleResponse,SR-ST-004-ST-004B,False,20,True
OPT-ST-004-03,ST-004,ST-004c,Student-accessible storage and/or materials are provided without requiring teacher retrieval,1,SingleResponse,SR-ST-004-ST-004C,False,30,True
OPT-ST-005-01,ST-005,ST-005a,Primary light fixtures are dimmable,1,SingleResponse,SR-ST-005-ST-005A,False,10,True
OPT-ST-005-02,ST-005,ST-005b,Primary light fixtures are LED,1,SingleResponse,SR-ST-005-ST-005B,False,20,True
OPT-ST-006-01,ST-006,ST-006a,"Good - walls are painted in light colors that can enhance daylighting, and accent color is used to reduce monotony",1,SingleResponse,SR-ST-006-ST-006A,False,10,True
OPT-ST-006-02,ST-006,ST-006a,"Fair - walls are painted in light colors that can enhance daylighting, but no accent color is used",0.5,SingleResponse,SR-ST-006-ST-006A,False,20,True
OPT-ST-006-03,ST-006,ST-006a,Poor - walls are painted in dark or monotonous colors,0,SingleResponse,SR-ST-006-ST-006A,False,30,True
OPT-ST-006-04,ST-006,ST-006a,Unable to assess (note reason),,SingleResponse,SR-ST-006-ST-006A,True,40,True
OPT-ST-007-01,ST-007,ST-007a,Yes,1,SingleResponse,SR-ST-007-ST-007A,False,10,True
OPT-ST-007-02,ST-007,ST-007a,No,0,SingleResponse,SR-ST-007-ST-007A,False,20,True
