OptionID,QuestionID,SourceScoreID,OptionText,OptionRole,ItemScoringMode,ScoreGroupID,OptionScore,MaxPoints,ItemWeight,IsExclusionOption,DisplayOrder,IsActive
OPT-MA-001-01,MA-001,MA-001a,Reception / secretary area,FieldItem,SingleResponse,SR-MA-001-01,1,1,1,False,10,True
OPT-MA-001-02,MA-001,MA-001b,Workroom,FieldItem,SingleResponse,SR-MA-001-02,1,1,1,False,20,True
OPT-MA-001-03,MA-001,MA-001c,Principal's office,FieldItem,SingleResponse,SR-MA-001-03,1,1,1,False,30,True
OPT-MA-001-04,MA-001,MA-001d,Assistant Principal office(s),FieldItem,SingleResponse,SR-MA-001-04,1,1,1,False,40,True
OPT-MA-001-05,MA-001,MA-001e,Bookkeeper office,FieldItem,SingleResponse,SR-MA-001-05,1,1,1,False,50,True
OPT-MA-001-06,MA-001,MA-001f,Conference room,FieldItem,SingleResponse,SR-MA-001-06,1,1,1,False,60,True
OPT-MA-001-07,MA-001,MA-001g,Records storage,FieldItem,SingleResponse,SR-MA-001-07,1,1,1,False,70,True
OPT-MA-001-08,MA-001,MA-001h,Supply storage,FieldItem,SingleResponse,SR-MA-001-08,1,1,1,False,80,True
OPT-MA-001-09,MA-001,MA-001j,Mother's room,FieldItem,SingleResponse,SR-MA-001-09,1,1,1,False,90,True
OPT-MA-001-10,MA-001,MA-001k,School Resource Officer (SRO) office,FieldItem,SingleResponse,SR-MA-001-10,1,1,1,False,100,True
OPT-MA-001-11,MA-001,MA-001i,Commuter shower,FieldItem,Inventory,INV-MA-001-11,,,0,False,110,True
OPT-MA-001-12,MA-001,MA-001i,Other (please note),FieldItem,Inventory,INV-MA-001-12,,,0,False,120,True
OPT-MA-002-01,MA-002,MA-002a,Yes,ResponseOption,SingleResponse,SR-MA-002-01,1,1,1,False,10,True
OPT-MA-002-02,MA-002,MA-002a,No,ResponseOption,SingleResponse,SR-MA-002-01,0,1,1,False,20,True
OPT-MA-002-03,MA-002,MA-002a,Not Able to Assess,ResponseOption,SingleResponse,SR-MA-002-01,,,1,True,30,True
OPT-MA-003-01,MA-003,MA-003a,Direct visibility,ResponseOption,SingleResponse,SR-MA-003-01,1,1,1,False,10,True
OPT-MA-003-02,MA-003,MA-003a,"Partial visibility (i.e., limited or through doorways only)",ResponseOption,SingleResponse,SR-MA-003-01,0.5,1,1,False,20,True
OPT-MA-003-03,MA-003,MA-003a,No visibility,ResponseOption,SingleResponse,SR-MA-003-01,0,1,1,False,30,True
OPT-MA-003-04,MA-003,MA-003a,Not Able to Assess,ResponseOption,SingleResponse,SR-MA-003-01,,,1,True,40,True
OPT-MA-004-01,MA-004,MA-004a,Adjacent to the main office area with visibility between the two,ResponseOption,SingleResponse,SR-MA-004-01,1,1,1,False,10,True
OPT-MA-004-02,MA-004,MA-004a,"Near the main office area or visible from it, but not both",ResponseOption,SingleResponse,SR-MA-004-01,0.5,1,1,False,20,True
OPT-MA-004-03,MA-004,MA-004a,Neither near the main office area nor visible from it,ResponseOption,SingleResponse,SR-MA-004-01,0,1,1,False,30,True
OPT-MA-004-04,MA-004,MA-004a,Not Able to Assess,ResponseOption,SingleResponse,SR-MA-004-01,,,1,True,40,True
OPT-MA-005-01,MA-005,MA-005a,Copier or multifunction printer,FieldItem,SingleResponse,SR-MA-005-01,1,1,1,False,10,True
OPT-MA-005-02,MA-005,MA-005b,Staff mailboxes,FieldItem,SingleResponse,SR-MA-005-02,1,1,1,False,20,True
OPT-MA-005-03,MA-005,MA-005c,Countertop work surface,FieldItem,SingleResponse,SR-MA-005-03,1,1,1,False,30,True
OPT-MA-005-04,MA-005,MA-005d,Casework or shelving for shared supplies,FieldItem,SingleResponse,SR-MA-005-04,1,1,1,False,40,True
OPT-MA-005-05,MA-005,MA-005e,Sink,FieldItem,SingleResponse,SR-MA-005-05,1,1,1,False,50,True
OPT-MA-005-06,MA-005,MA-005i,Whiteboard,FieldItem,Inventory,INV-MA-005-06,,,0,False,60,True
OPT-MA-005-07,MA-005,MA-005i,Tack board,FieldItem,Inventory,INV-MA-005-07,,,0,False,70,True
OPT-MA-005-08,MA-005,MA-005i,Refrigerator,FieldItem,Inventory,INV-MA-005-08,,,0,False,80,True
OPT-MA-005-09,MA-005,MA-005i,Microwave,FieldItem,Inventory,INV-MA-005-09,,,0,False,90,True
OPT-MA-006-01,MA-006,MA-006a,Yes,ResponseOption,SingleResponse,SR-MA-006-01,1,1,1,False,10,True
OPT-MA-006-02,MA-006,MA-006a,No,ResponseOption,SingleResponse,SR-MA-006-01,0,1,1,False,20,True
OPT-MA-006-03,MA-006,MA-006a,Not Able to Assess,ResponseOption,SingleResponse,SR-MA-006-01,,,1,True,30,True
OPT-MA-007-01,MA-007,MA-007i,Interior window,FieldItem,Inventory,INV-MA-007-01,,,0,False,10,True
OPT-MA-007-02,MA-007,MA-007i,Sidelight,FieldItem,Inventory,INV-MA-007-02,,,0,False,20,True
OPT-MA-007-03,MA-007,MA-007i,"Door panel (i.e., glass panel in the door)",FieldItem,Inventory,INV-MA-007-03,,,0,False,30,True
OPT-MA-008-01,MA-008,MA-008a,Interior windows and doors with glass can be covered with a single movement,FieldItem,SingleResponse,SR-MA-008-01,1,1,1,False,10,True
OPT-MA-008-02,MA-008,MA-008b,Exterior windows and doors with glass can be covered with a single movement,FieldItem,SingleResponse,SR-MA-008-02,1,1,1,False,20,True
OPT-MA-008-03,MA-008,MA-008c,Interior door hardware is lockable from inside the space,FieldItem,SingleResponse,SR-MA-008-03,1,1,1,False,30,True
OPT-MA-009-01,MA-009,MA-009i,PA speaker,FieldItem,Inventory,INV-MA-009-01,,,0,False,10,True
OPT-MA-009-02,MA-009,MA-009i,Synchronous clock,FieldItem,Inventory,INV-MA-009-02,,,0,False,20,True
OPT-MA-009-03,MA-009,MA-009i,Digital display or monitor,FieldItem,Inventory,INV-MA-009-03,,,0,False,30,True
OPT-MA-009-04,MA-009,MA-009i,Other (please note),FieldItem,Inventory,INV-MA-009-04,,,0,False,40,True
OPT-CP-001-01,CP-001,CP-001a,Yes,ResponseOption,SingleResponse,SR-CP-001-01,1,1,1,False,10,True
OPT-CP-001-02,CP-001,CP-001a,No,ResponseOption,SingleResponse,SR-CP-001-01,,1,1,False,20,True
OPT-CP-001-03,CP-001,CP-001a,Not Able to Assess,ResponseOption,SingleResponse,SR-CP-001-01,,,1,True,30,True
OPT-CP-002-01,CP-002,CP-002a,The suite is accessible directly from the secure vestibule without requiring travel through the building,FieldItem,SingleResponse,SR-CP-002-01,1,1,1,False,10,True
OPT-CP-002-02,CP-002,CP-002b,The suite can be locked when not in use,FieldItem,SingleResponse,SR-CP-002-02,1,1,1,False,20,True
OPT-CP-002-03,CP-002,CP-002c,The suite can be used before and after school hours without providing access to the rest of the building,FieldItem,SingleResponse,SR-CP-002-03,1,1,1,False,30,True
OPT-CP-003-01,CP-003,CP-003a,The suite entrance and a portion of the interior are visible from reception,ResponseOption,SingleResponse,SR-CP-003-01,1,1,1,False,10,True
OPT-CP-003-02,CP-003,CP-003a,The suite entrance is visible from reception,ResponseOption,SingleResponse,SR-CP-003-01,0.5,1,1,False,20,True
OPT-CP-003-03,CP-003,CP-003a,The suite is not visible from reception,ResponseOption,SingleResponse,SR-CP-003-01,,1,1,False,30,True
OPT-CP-003-04,CP-003,CP-003a,Not Able to Assess,ResponseOption,SingleResponse,SR-CP-003-01,,,1,True,40,True
OPT-CP-004-01,CP-004,CP-004a,Office space for community partners,FieldItem,SingleResponse,SR-CP-004-01,1,1,1,False,10,True
OPT-CP-004-02,CP-004,CP-004b,Conference room,FieldItem,SingleResponse,SR-CP-004-02,1,1,1,False,20,True
OPT-CP-004-03,CP-004,CP-004c,Community Room,FieldItem,SingleResponse,SR-CP-004-03,1,1,1,False,30,True
