CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-TRADITIONAL-STUDIO-SIZE-5D15DF,Studios,SPT-TRADITIONAL-STUDIO-78A63C,Size,12,Assumed,10,True
CAT-OUTDOOR-SPACES-SIZE-D6B10A,Outdoor,SPT-OUTDOOR-SPACES-F4EC64,Size,12,Assumed,10,True
CAT-ADMIN-OFFICES-SIZE-74FA59,Arrival/Administration,SPT-ADMIN-OFFICES-C36ECE,Size,12,Assumed,10,True
CAT-MAIN-ADMIN-SUITE-SIZE-074A02,Arrival/Administration,SPT-MAIN-ADMIN-SUITE-6009C0,Size,12,Assumed,10,True
CAT-COMMUNITY-PARTNERS-SIZE-240CAB,Arrival/Administration,SPT-COMMUNITY-PARTNERS-SUITE-8EC0EC,Size,12,Assumed,10,True
CAT-MW-AND-COUNSELING--SIZE-213836,Administration,SPT-MW-AND-COUNSELING-SUITE-3ACB29,Size,12,Assumed,10,True
CAT-PROFESSIONAL-LEARN-SIZE-D0E0A0,Arrival/Administration,SPT-PROFESSIONAL-LEARNING-CENTER-A2E7B5,Size,12,Assumed,10,True
CAT-MAIN-ENTRY-RECEPTI-SIZE-9DE65B,Arrival/Administration,SPT-MAIN-ENTRY-RECEPTION-CC5A87,Size,12,Assumed,10,True
CAT-SCIENCE-SIZE-2DFD91,Studios,SPT-SCIENCE-2593B2,Size,12,Assumed,10,True
CAT-SCIENCE-PREP-ROOM-SIZE-EEA84C,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Size,12,Assumed,10,True
CAT-EARLY-CHILDHOOD-ST-SIZE-22C0CC,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Size,12,Assumed,10,True
CAT-EARLY-CHILDHOOD-SP-SIZE-F56A89,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-EDUCAT-0E3811,Size,12,Assumed,10,True
CAT-MAKER-SPACE-SIZE-6D6AAB,Studios,SPT-MAKER-SPACE-57653D,Size,12,Assumed,10,True
CAT-SPECIAL-EDUCATION--SIZE-CF2F01,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Size,12,Assumed,10,True
CAT-SENSORY-MOTOR-LAB-SIZE-776C3F,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Size,12,Assumed,10,True
CAT-LIFE-SKILLS-STUDIO-SIZE-EA6EBE,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Size,12,Assumed,10,True
CAT-VOCATIONAL-LAB-SIZE-191686,Special Education,SPT-VOCATIONAL-LAB-534CA6,Size,12,Assumed,10,True
CAT-SPED-FLEX-STUDIO-SIZE-C197F7,Special Education,SPT-SPED-FLEX-STUDIO-8EBAD0,Size,12,Assumed,10,True
CAT-LIBRARY-MEDIA-CENT-SIZE-E28AD9,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Size,12,Assumed,10,True
CAT-COMPETITION-GYM-SIZE-2CC6FE,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Size,12,Assumed,10,True
CAT-MULTIPURPOSE-GYM-SIZE-D72B41,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Size,12,Assumed,10,True
