QuestionID,SurveyID,SpaceTypeID,ScoringCategoryID,CategoryID,SubcategoryID,GradeApplicability,QuestionText,QuestionType,ParentScoringPattern,QuestionWeight,DisplayOrder,IsRequired,IsActive,LegacyQuestionID
NH-002,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,ES,How many small group rooms are in the neighborhood?,SingleSelect,SingleResponse,1,10,True,True,NH-002
NH-003,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,"MS,HS",How many small group rooms are in the neighborhood? (Fits 3-5 Students),SingleSelect,SingleResponse,1,20,True,True,NH-003
NH-004,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,HS,Is there a large group room in the neighborhood? (Fits 8-14 Students),YesNo,SingleResponse,1,30,True,True,NH-004
NH-005,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,All,Is there a Professional Learning Center (PLC) in the neighborhood?,YesNo,SingleResponse,1,40,True,True,NH-005
NH-006,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,"MS,HS",Is there a Maker Space in the neighborhood?,YesNo,SingleResponse,1,50,True,True,NH-006
NH-007,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,MS,Is one of the classrooms in the neighborhood designed as a Science Lab?,YesNo,SingleResponse,1,60,True,True,NH-007
NH-008,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,HS,Is one of the classrooms in the neighborhood designed as a Science Lab?,SingleSelect,SingleResponse,1,70,True,True,NH-008
NH-009,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-ADJACENCIES,SUB-NEIGHBORHOOD-ADJACENCIES-NEIGHBORHOOD,All,Select all that apply (Restroom availability),MultiSelect,MixedItemScoring,1,80,True,True,NH-009
NH-010,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-INFRASTRUCTURE,SUB-NEIGHBORHOOD-INFRASTRUCTURE-STORAGE,All,Is there a storage closet that is easily sharable by teachers in the neighborhood?,YesNo,SingleResponse,1,90,True,True,NH-010
NH-011,SRV-NEIGHBORHOOD,SPT-NEIGHBORHOOD,SCAT-NBH,CAT-NEIGHBORHOOD-INFRASTRUCTURE,SUB-NEIGHBORHOOD-INFRASTRUCTURE-PARTITION-WALLS,All,How many operable partitions (either between classrooms or into open collaboration space) does the neighborhood contain?,SingleSelect,SingleResponse,1,100,True,True,NH-011
