SurveyID,SurveyName,SurveyFocusArea,Description,DisplayOrder,IsActive
SRV-STUDIOS,Studios Survey,Studios,Educational suitability assessment for Studios.,10,True
SRV-OUTDOOR,Outdoor Survey,Outdoor,Educational suitability assessment for Outdoor.,20,True
SRV-ADMINISTRATION,Administration Survey,Administration,Educational suitability assessment for Administration.,30,True
SRV-NEIGHBORHOODS,Neighborhoods Survey,Neighborhoods,Educational suitability assessment for Neighborhoods.,40,True
SRV-NEIGHBORHOOD,Neighborhood Survey,Neighborhood,Educational suitability assessment for Neighborhood.,50,True
SRV-ENTRY-EXPERIENCE,Entry Experience Survey,Entry Experience,Educational suitability assessment for Entry Experience.,60,True
SRV-OBSERVATIONAL,Observational Survey,Observational,Educational suitability assessment for Observational.,70,True
SRV-SPECIAL-EDUCATION,Special Education Survey,Special Education,Educational suitability assessment for Special Education.,80,True
SRV-SHARED-SPACES,Shared Spaces Survey,Shared Spaces,Educational suitability assessment for Shared Spaces.,90,True
SRV-ATHLETICS-AND-WELLNESS,Athletics and Wellness Survey,Athletics and Wellness,Educational suitability assessment for Athletics and Wellness.,100,True
SRV-EMPOWER-CENTER,Empower Center Survey,Empower Center,Educational suitability assessment for Empower Center.,110,True
SRV-CTE,CTE Survey,CTE,Educational suitability assessment for CTE.,120,True
SRV-PERFORMING-ARTS,Performing Arts Survey,Performing Arts,Educational suitability assessment for Performing Arts.,130,True
SRV-GENERAL,General Survey,General,Educational suitability assessment for General.,140,True
SRV-CLOSEOUT,Closeout Survey,Closeout,Educational suitability assessment for Closeout.,150,True
