CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,DisplayOrder,IsActive
CAT-TRADITIONAL-STUD-SIZE,Studios,SPT-TRADITIONAL-STUDIO,Size,12,10,True
CAT-TRADITIONAL-STUD-FUNCTION,Studios,SPT-TRADITIONAL-STUDIO,Function,12,20,True
CAT-TRADITIONAL-STUD-INFRASTRUCTURE,Studios,SPT-TRADITIONAL-STUDIO,Infrastructure,6,30,True
CAT-TRADITIONAL-STUD-OCCUPANT-EXPERIENCE,Studios,SPT-TRADITIONAL-STUDIO,Occupant Experience,12,40,True
CAT-TRADITIONAL-STUD-AMENITIES,Studios,SPT-TRADITIONAL-STUDIO,Amenities,12,50,True
CAT-MAKER-SPACE-SIZE,Studios,SPT-MAKER-SPACE,Size,12,10,True
CAT-MAKER-SPACE-FUNCTION,Studios,SPT-MAKER-SPACE,Function,12,20,True
CAT-MAKER-SPACE-INFRASTRUCTURE,Studios,SPT-MAKER-SPACE,Infrastructure,6,30,True
CAT-MAKER-SPACE-OCCUPANT-EXPERIENCE,Studios,SPT-MAKER-SPACE,Occupant Experience,12,40,True
CAT-MAKER-SPACE-AMENITIES,Studios,SPT-MAKER-SPACE,Amenities,12,50,True
CAT-OUTDOOR-SPACES-SIZE,Outdoor,SPT-OUTDOOR-SPACES,Size,12,10,True
CAT-OUTDOOR-SPACES-AMENITIES,Outdoor,SPT-OUTDOOR-SPACES,Amenities,12,20,True
CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE,Outdoor,SPT-OUTDOOR-SPACES,Occupant Experience,12,30,True
CAT-OUTDOOR-SPACES-FUNCTION,Outdoor,SPT-OUTDOOR-SPACES,Function,12,40,True
CAT-OUTDOOR-SPACES-INFRASTRUCTURE,Outdoor,SPT-OUTDOOR-SPACES,Infrastructure,6,50,True
CAT-ADMIN-OFFICES-SIZE,Arrival/Administration,SPT-ADMIN-OFFICES,Size,12,10,True
CAT-ADMIN-OFFICES-FUNCTION,Arrival/Administration,SPT-ADMIN-OFFICES,Function,12,20,True
CAT-ADMIN-OFFICES-INFRASTRUCTURE,Arrival/Administration,SPT-ADMIN-OFFICES,Infrastructure,6,30,True
CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE,Arrival/Administration,SPT-ADMIN-OFFICES,Occupant Experience,12,40,True
