SubcategoryID,CategoryID,ScoreFocusArea,SubcategoryName,SubcategoryWeight,WeightSource,DisplayOrder,IsActive
SUB-TRADITIONAL--FUNCTION-LAYOUT-AND-FLEXIBILI-43C4F0,CAT-TRADITIONAL-STUD-FUNCTION-C2728B,Studios,Layout and Flexibility,12,Source,10,True
SUB-TRADITIONAL--INFRASTRUC-UTILITIES-AND-TECHNO-ACFE54,CAT-TRADITIONAL-STUD-INFRASTRUCTURE-7AEF91,Studios,Utilities and Technology,12,Source,10,True
SUB-TRADITIONAL--OCCUPANT-E-AESTHETICS-0B606D,CAT-TRADITIONAL-STUD-OCCUPANT-EXPERIENCE-508DFE,Studios,Aesthetics,6,Source,10,True
SUB-TRADITIONAL--OCCUPANT-E-OCCUPANT-COMFORT-A85D88,CAT-TRADITIONAL-STUD-OCCUPANT-EXPERIENCE-508DFE,Studios,Occupant Comfort,12,Source,20,True
SUB-TRADITIONAL--AMENITIES-DISPLAY-AND-PRESENTA-28504B,CAT-TRADITIONAL-STUD-AMENITIES-A087E1,Studios,Display and Presentation,9,Source,10,True
SUB-TRADITIONAL--AMENITIES-STORAGE-612216,CAT-TRADITIONAL-STUD-AMENITIES-A087E1,Studios,Storage,9,Source,20,True
SUB-TRADITIONAL--OCCUPANT-E-SAFETY-AND-SUPERVISI-2C4164,CAT-TRADITIONAL-STUD-OCCUPANT-EXPERIENCE-508DFE,Studios,Safety and Supervision,12,Source,30,True
SUB-TRADITIONAL--AMENITIES-FURNITURE-AND-EQUIPM-AF5BB8,CAT-TRADITIONAL-STUD-AMENITIES-A087E1,Studios,Furniture and Equipment,12,Source,30,True
SUB-TRADITIONAL--INFRASTRUC-FLOORING-AND-SURFACE-EA0F40,CAT-TRADITIONAL-STUD-INFRASTRUCTURE-7AEF91,Studios,Flooring and Surface Finishes,6,Source,20,True
SUB-TRADITIONAL--FUNCTION-ADJACENCY-AND-ACCESS-40FDCF,CAT-TRADITIONAL-STUD-FUNCTION-C2728B,Studios,Adjacency and Access,12,Source,20,True
SUB-OUTDOOR-SPAC-AMENITIES-FURNITURE-AND-EQUIPM-A615D5,CAT-OUTDOOR-SPACES-AMENITIES-A3092F,Outdoor,Furniture and Equipment,12,Source,10,True
SUB-OUTDOOR-SPAC-OCCUPANT-E-SAFETY-AND-SUPERVISI-E20C89,CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE-81CB5D,Outdoor,Safety and Supervision,12,Source,10,True
SUB-OUTDOOR-SPAC-FUNCTION-AVAILABILITY-E6D18C,CAT-OUTDOOR-SPACES-FUNCTION-7C11D1,Outdoor,Availability,12,Source,10,True
SUB-OUTDOOR-SPAC-OCCUPANT-E-OCCUPANT-COMFORT-D9EFDF,CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE-81CB5D,Outdoor,Occupant Comfort,9,Source,20,True
SUB-OUTDOOR-SPAC-FUNCTION-ADJACENCY-AND-ACCESS-BAB711,CAT-OUTDOOR-SPACES-FUNCTION-7C11D1,Outdoor,Adjacency and Access,12,Source,20,True
SUB-OUTDOOR-SPAC-INFRASTRUC-UTILITIES-AND-TECHNO-684713,CAT-OUTDOOR-SPACES-INFRASTRUCTURE-DB4715,Outdoor,Utilities and Technology,9,Source,10,True
SUB-OUTDOOR-SPAC-AMENITIES-STORAGE-149F87,CAT-OUTDOOR-SPACES-AMENITIES-A3092F,Outdoor,Storage,6,Source,20,True
SUB-ADMIN-OFFICE-FUNCTION-LAYOUT-AND-FLEXIBILI-59B405,CAT-ADMIN-OFFICES-FUNCTION-41467A,Arrival/Administration,Layout and Flexibility,12,Source,10,True
SUB-ADMIN-OFFICE-INFRASTRUC-UTILITIES-AND-TECHNO-CE41B1,CAT-ADMIN-OFFICES-INFRASTRUCTURE-F0A2D8,Arrival/Administration,Utilities and Technology,12,Source,10,True
SUB-ADMIN-OFFICE-OCCUPANT-E-AESTHETICS-692C04,CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE-BD5B4D,Arrival/Administration,Aesthetics,6,Source,10,True
SUB-ADMIN-OFFICE-OCCUPANT-E-OCCUPANT-COMFORT-EB91CC,CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE-BD5B4D,Arrival/Administration,Occupant Comfort,12,Source,20,True
SUB-ADMIN-OFFICE-OCCUPANT-E-SAFETY-AND-SUPERVISI-3F8655,CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE-BD5B4D,Arrival/Administration,Safety and Supervision,12,Source,30,True
SUB-ADMIN-OFFICE-AMENITIES-FURNITURE-AND-EQUIPM-4B0478,CAT-ADMIN-OFFICES-AMENITIES-8EA266,Arrival/Administration,Furniture and Equipment,12,Source,10,True
SUB-ADMIN-OFFICE-INFRASTRUC-FLOORING-AND-SURFACE-6FDF18,CAT-ADMIN-OFFICES-INFRASTRUCTURE-F0A2D8,Arrival/Administration,Flooring and Surface Finishes,6,Source,20,True
SUB-ADMIN-OFFICE-FUNCTION-ADJACENCY-AND-ACCESS-44DE52,CAT-ADMIN-OFFICES-FUNCTION-41467A,Arrival/Administration,Adjacency and Access,12,Source,20,True
SUB-ADMIN-OFFICE-FUNCTION-AVAILABILITY-D3AD9A,CAT-ADMIN-OFFICES-FUNCTION-41467A,Arrival/Administration,Availability,3,Source,30,True
SUB-MAIN-ADMIN-S-OCCUPANT-E-CIRCULATION-AND-EGRE-EC77BE,CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENCE-54985E,Arrival/Administration,Circulation and Egress,9,Source,10,True
SUB-COMMUNITY-PA-FUNCTION-ADJACENCY-AND-ACCESS-FDD5AF,CAT-COMMUNITY-PARTNE-FUNCTION-FA6308,Arrival/Administration,Adjacency and Access,12,Source,10,True
SUB-COMMUNITY-PA-OCCUPANT-E-SAFETY-AND-SUPERVISI-878468,CAT-COMMUNITY-PARTNE-OCCUPANT-EXPERIENCE-B68577,Arrival/Administration,Safety and Supervision,12,Source,10,True
SUB-COMMUNITY-PA-FUNCTION-AVAILABILITY-480D33,CAT-COMMUNITY-PARTNE-FUNCTION-FA6308,Arrival/Administration,Availability,12,Source,20,True
SUB-COMMUNITY-PA-AMENITIES-STORAGE-383EB2,CAT-COMMUNITY-PARTNE-AMENITIES-F47E07,Arrival/Administration,Storage,9,Source,10,True
SUB-COMMUNITY-PA-OCCUPANT-E-OCCUPANT-COMFORT-5C85C5,CAT-COMMUNITY-PARTNE-OCCUPANT-EXPERIENCE-B68577,Arrival/Administration,Occupant Comfort,12,Source,20,True
SUB-COMMUNITY-PA-AMENITIES-FURNITURE-AND-EQUIPM-4B476F,CAT-COMMUNITY-PARTNE-AMENITIES-F47E07,Arrival/Administration,Furniture and Equipment,12,Source,20,True
SUB-COMMUNITY-PA-INFRASTRUC-FLOORING-AND-SURFACE-67FABD,CAT-COMMUNITY-PARTNE-INFRASTRUCTURE-902D32,Arrival/Administration,Flooring and Surface Finishes,0,Inventory,10,True
SUB-COMMUNITY-PA-INFRASTRUC-UTILITIES-AND-TECHNO-72003F,CAT-COMMUNITY-PARTNE-INFRASTRUCTURE-902D32,Arrival/Administration,Utilities and Technology,0,Inventory,20,True
SUB-MW-AND-COUNS-FUNCTION-ADJACENCY-AND-ACCESS-6D3F36,CAT-MW-AND-COUNSELIN-FUNCTION-E4D080,Administration,Adjacency and Access,3,Source,10,True
SUB-MW-AND-COUNS-FUNCTION-AVAILABILITY-37F33B,CAT-MW-AND-COUNSELIN-FUNCTION-E4D080,Administration,Availability,3,Source,20,True
SUB-MW-AND-COUNS-INFRASTRUC-UTILITIES-AND-TECHNO-8243E8,CAT-MW-AND-COUNSELIN-INFRASTRUCTURE-E31953,Administration,Utilities and Technology,3,Source,10,True
SUB-MW-AND-COUNS-AMENITIES-STORAGE-50CEF2,CAT-MW-AND-COUNSELIN-AMENITIES-2A63B7,Administration,Storage,3,Source,10,True
SUB-MW-AND-COUNS-FUNCTION-CIRCULATION-AND-EGRE-BA36A0,CAT-MW-AND-COUNSELIN-FUNCTION-E4D080,Administration,Circulation and Egress,3,Source,30,True
