OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-OD-001-01,OD-001,OD-001a,Early childhood playground (PreK-K),1,SingleResponse,,False,10,True
OPT-OD-001-02,OD-001,OD-001b,Elementary playground (1st-5th),1,SingleResponse,,False,20,True
OPT-OD-001-03,OD-001,OD-001c,Buddy bench,1,SingleResponse,,False,30,True
OPT-OD-001-04,OD-001,OD-001d,Cushioned play surfacing,1,SingleResponse,,False,40,True
OPT-OD-001-05,OD-001,OD-001e,Shade elements,1,SingleResponse,,False,50,True
OPT-OD-002-01,OD-002,OD-002a,Artwork,1,SingleResponse,,False,10,True
OPT-OD-002-02,OD-002,OD-002b,Dry creek bed,1,SingleResponse,,False,20,True
OPT-OD-002-03,OD-002,OD-002c,Educational signage,1,SingleResponse,,False,30,True
OPT-OD-002-04,OD-002,OD-002d,Flexible seating,1,SingleResponse,,False,40,True
OPT-OD-002-05,OD-002,OD-002e,Fixed seating,1,SingleResponse,,False,50,True
OPT-OD-002-06,OD-002,OD-002f,Mulch planting bed,1,SingleResponse,,False,60,True
OPT-OD-002-07,OD-002,OD-002g,Nature-based play,1,SingleResponse,,False,70,True
OPT-OD-002-08,OD-002,OD-002h,Outdoor music,1,SingleResponse,,False,80,True
OPT-OD-002-09,OD-002,OD-002j,Pollinator plantings,1,SingleResponse,,False,90,True
OPT-OD-002-10,OD-002,OD-002k,Sensory path,1,SingleResponse,,False,100,True
OPT-OD-002-11,OD-002,OD-002l,Storage,1,SingleResponse,,False,110,True
OPT-OD-002-12,OD-002,OD-002m,Synthetic turf surfacing,1,SingleResponse,,False,120,True
OPT-OD-002-13,OD-002,OD-002n,Worktables,1,SingleResponse,,False,130,True
OPT-OD-003-01,OD-003,OD-003a,Yes,1,SingleResponse,,False,10,True
OPT-OD-003-02,OD-003,OD-003a,No,0,SingleResponse,,False,20,True
OPT-OD-003-03,OD-003,OD-003a,Unable to assess (note reason),,SingleResponse,,True,30,True
OPT-OD-004-01,OD-004,OD-004a,Yes,1,SingleResponse,,False,10,True
OPT-OD-004-02,OD-004,OD-004a,No,0,SingleResponse,,False,20,True
OPT-OD-004-03,OD-004,OD-004a,Unable to assess (note reason),,SingleResponse,,True,30,True
OPT-OD-005-01,OD-005,OD-005a,Yes,1,SingleResponse,,False,10,True
OPT-OD-005-02,OD-005,OD-005a,No,0,SingleResponse,,False,20,True
OPT-OD-005-03,OD-005,OD-005a,Unable to assess (note reason),,SingleResponse,,True,30,True
OPT-OD-006-01,OD-006,OD-006i,Slides,,Inventory,,False,10,True
OPT-OD-006-02,OD-006,OD-006i,Independent swings,,Inventory,,False,20,True
OPT-OD-006-03,OD-006,OD-006i,Ropes and/or climbing structures,,Inventory,,False,30,True
OPT-OD-006-04,OD-006,OD-006i,Spinning equipment,,Inventory,,False,40,True
OPT-OD-006-05,OD-006,OD-006i,Swaying equipment,,Inventory,,False,50,True
OPT-OD-006-06,OD-006,OD-006i,"Musical instrument equipment (e.g., percussion play)",,Inventory,,False,60,True
OPT-OD-006-07,OD-006,OD-006i,Balancing and/or jumping equipment,,Inventory,,False,70,True
