SubcategoryID,CategoryID,ScoreFocusArea,SubcategoryName,SubcategoryWeight,WeightSource,DisplayOrder,IsActive
SUB-TRADITIONAL-STUD-FUNCTION-LAYOUT-AND-FLEXIBILI-43C4F06D,CAT-TRADITIONAL-STUDIO-FUNCTION,Studios,Layout and Flexibility,12,Source,10,True
SUB-TRADITIONAL-STUD-INFRASTRUCTU-UTILITIES-AND-TECHNO-ACFE5400,CAT-TRADITIONAL-STUDIO-INFRASTRUCTURE,Studios,Utilities and Technology,12,Source,10,True
SUB-TRADITIONAL-STUD-OCCUPANT-EXP-AESTHETICS-0B606DB8,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,Studios,Aesthetics,6,Source,10,True
SUB-TRADITIONAL-STUD-OCCUPANT-EXP-OCCUPANT-COMFORT-A85D88A5,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,Studios,Occupant Comfort,12,Source,20,True
SUB-TRADITIONAL-STUD-AMENITIES-DISPLAY-AND-PRESENTA-28504B42,CAT-TRADITIONAL-STUDIO-AMENITIES,Studios,Display and Presentation,9,Source,10,True
SUB-TRADITIONAL-STUD-AMENITIES-STORAGE-61221652,CAT-TRADITIONAL-STUDIO-AMENITIES,Studios,Storage,9,Source,20,True
SUB-TRADITIONAL-STUD-OCCUPANT-EXP-SAFETY-AND-SUPERVISI-2C4164C3,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,Studios,Safety and Supervision,12,Source,30,True
SUB-TRADITIONAL-STUD-AMENITIES-FURNITURE-AND-EQUIPM-AF5BB81B,CAT-TRADITIONAL-STUDIO-AMENITIES,Studios,Furniture and Equipment,12,Source,30,True
SUB-TRADITIONAL-STUD-INFRASTRUCTU-FLOORING-AND-SURFACE-EA0F40CD,CAT-TRADITIONAL-STUDIO-INFRASTRUCTURE,Studios,Flooring and Surface Finishes,6,Source,20,True
SUB-TRADITIONAL-STUD-FUNCTION-ADJACENCY-AND-ACCESS-40FDCF99,CAT-TRADITIONAL-STUDIO-FUNCTION,Studios,Adjacency and Access,12,Source,20,True
SUB-OUTDOOR-SPACES-AMENITIES-FURNITURE-AND-EQUIPM-A615D5DA,CAT-OUTDOOR-SPACES-AMENITIES,Outdoor,Furniture and Equipment,12,Source,10,True
SUB-OUTDOOR-SPACES-OCCUPANT-EXP-SAFETY-AND-SUPERVISI-E20C8959,CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE,Outdoor,Safety and Supervision,12,Source,10,True
SUB-OUTDOOR-SPACES-FUNCTION-AVAILABILITY-E6D18CDF,CAT-OUTDOOR-SPACES-FUNCTION,Outdoor,Availability,12,Source,10,True
SUB-OUTDOOR-SPACES-OCCUPANT-EXP-OCCUPANT-COMFORT-D9EFDFEF,CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE,Outdoor,Occupant Comfort,9,Source,20,True
SUB-OUTDOOR-SPACES-FUNCTION-ADJACENCY-AND-ACCESS-BAB711E8,CAT-OUTDOOR-SPACES-FUNCTION,Outdoor,Adjacency and Access,12,Source,20,True
SUB-OUTDOOR-SPACES-INFRASTRUCTU-UTILITIES-AND-TECHNO-684713D1,CAT-OUTDOOR-SPACES-INFRASTRUCTURE,Outdoor,Utilities and Technology,9,Source,10,True
SUB-OUTDOOR-SPACES-AMENITIES-STORAGE-149F8752,CAT-OUTDOOR-SPACES-AMENITIES,Outdoor,Storage,6,Source,20,True
SUB-ADMIN-OFFICES-FUNCTION-LAYOUT-AND-FLEXIBILI-59B405F2,CAT-ADMIN-OFFICES-FUNCTION,Arrival/Administration,Layout and Flexibility,12,Source,10,True
SUB-ADMIN-OFFICES-INFRASTRUCTU-UTILITIES-AND-TECHNO-CE41B158,CAT-ADMIN-OFFICES-INFRASTRUCTURE,Arrival/Administration,Utilities and Technology,12,Source,10,True
SUB-ADMIN-OFFICES-OCCUPANT-EXP-AESTHETICS-692C04C6,CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE,Arrival/Administration,Aesthetics,6,Source,10,True
SUB-ADMIN-OFFICES-OCCUPANT-EXP-OCCUPANT-COMFORT-EB91CCBA,CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE,Arrival/Administration,Occupant Comfort,12,Source,20,True
SUB-ADMIN-OFFICES-OCCUPANT-EXP-SAFETY-AND-SUPERVISI-3F865546,CAT-ADMIN-OFFICES-OCCUPANT-EXPERIENCE,Arrival/Administration,Safety and Supervision,12,Source,30,True
SUB-ADMIN-OFFICES-AMENITIES-FURNITURE-AND-EQUIPM-4B0478E5,CAT-ADMIN-OFFICES-AMENITIES,Arrival/Administration,Furniture and Equipment,12,Source,10,True
SUB-ADMIN-OFFICES-INFRASTRUCTU-FLOORING-AND-SURFACE-6FDF1847,CAT-ADMIN-OFFICES-INFRASTRUCTURE,Arrival/Administration,Flooring and Surface Finishes,6,Source,20,True
SUB-ADMIN-OFFICES-FUNCTION-ADJACENCY-AND-ACCESS-44DE52F8,CAT-ADMIN-OFFICES-FUNCTION,Arrival/Administration,Adjacency and Access,12,Source,20,True
SUB-ADMIN-OFFICES-FUNCTION-AVAILABILITY-D3AD9A8B,CAT-ADMIN-OFFICES-FUNCTION,Arrival/Administration,Availability,12,Assumed,30,True
SUB-MAIN-ADMIN-SUITE-OCCUPANT-EXP-CIRCULATION-AND-EGRE-EC77BE53,CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENCE,Arrival/Administration,Circulation and Egress,9,Source,10,True
SUB-COMMUNITY-PARTNE-FUNCTION-ADJACENCY-AND-ACCESS-FDD5AF9A,CAT-COMMUNITY-PARTNERS-FUNCTION,Arrival/Administration,Adjacency and Access,12,Source,10,True
SUB-COMMUNITY-PARTNE-OCCUPANT-EXP-SAFETY-AND-SUPERVISI-878468F7,CAT-COMMUNITY-PARTNERS-OCCUPANT-EXPERIENCE,Arrival/Administration,Safety and Supervision,12,Source,10,True
SUB-COMMUNITY-PARTNE-FUNCTION-AVAILABILITY-480D3314,CAT-COMMUNITY-PARTNERS-FUNCTION,Arrival/Administration,Availability,12,Source,20,True
SUB-COMMUNITY-PARTNE-AMENITIES-STORAGE-383EB2E0,CAT-COMMUNITY-PARTNERS-AMENITIES,Arrival/Administration,Storage,9,Source,10,True
SUB-COMMUNITY-PARTNE-OCCUPANT-EXP-OCCUPANT-COMFORT-5C85C584,CAT-COMMUNITY-PARTNERS-OCCUPANT-EXPERIENCE,Arrival/Administration,Occupant Comfort,12,Source,20,True
SUB-COMMUNITY-PARTNE-AMENITIES-FURNITURE-AND-EQUIPM-4B476F60,CAT-COMMUNITY-PARTNERS-AMENITIES,Arrival/Administration,Furniture and Equipment,12,Source,20,True
SUB-COMMUNITY-PARTNE-INFRASTRUCTU-FLOORING-AND-SURFACE-67FABDD8,CAT-COMMUNITY-PARTNERS-INFRASTRUCTURE,Arrival/Administration,Flooring and Surface Finishes,i,Source,10,True
SUB-COMMUNITY-PARTNE-INFRASTRUCTU-UTILITIES-AND-TECHNO-72003F30,CAT-COMMUNITY-PARTNERS-INFRASTRUCTURE,Arrival/Administration,Utilities and Technology,i,Source,20,True
SUB-MENTAL-WELLNESS--FUNCTION-ADJACENCY-AND-ACCESS-E560C2C7,CAT-MENTAL-WELLNESS-AN-FUNCTION,Arrival/Administration,Adjacency and Access,9,Source,10,True
SUB-MENTAL-WELLNESS--FUNCTION-AVAILABILITY-976872E8,CAT-MENTAL-WELLNESS-AN-FUNCTION,Arrival/Administration,Availability,12,Source,20,True
SUB-MENTAL-WELLNESS--OCCUPANT-EXP-CIRCULATION-AND-EGRE-818C2687,CAT-MENTAL-WELLNESS-AN-OCCUPANT-EXPERIENCE,Arrival/Administration,Circulation and Egress,12,Source,10,True
SUB-MENTAL-WELLNESS--OCCUPANT-EXP-SAFETY-AND-SUPERVISI-A67E48E4,CAT-MENTAL-WELLNESS-AN-OCCUPANT-EXPERIENCE,Arrival/Administration,Safety and Supervision,12,Source,20,True
