QuestionID,LegacyQuestionID,SurveyID,SurveyFocusArea,ScoreFocusArea,SpaceTypeID,CategoryID,SubcategoryID,SchoolLevel,SourceSchoolLevel,QuestionText,Context,QuestionType,ScoringMode,QuestionWeight,WeightSource,DisplayOrder,IsRequired,IsActive,SourceSheet,SourceRow
ST-002,ST-002,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-FUNCTION,SUB-TRADITIONAL-STUD-FUNCTION-LAYOUT-AND-FLEXIBILI-43C4F06D,ALL,ALL,Does the room shape allow for clear sightlines and flexible room configuration options?,,YesNo,SingleResponse,12,Source,10,True,True,Studios,6
ST-003,ST-003,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-FUNCTION,SUB-TRADITIONAL-STUD-FUNCTION-LAYOUT-AND-FLEXIBILI-43C4F06D,ALL,ALL,"Is there a dedicated Peace Center within the studio (i.e., a furniture-based or designed ~25 SF space)?",Supports student self-regulation without leaving the studio,YesNo,SingleResponse,6,Source,20,True,True,Studios,10
ST-004,ST-004,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-FUNCTION,SUB-TRADITIONAL-STUD-FUNCTION-LAYOUT-AND-FLEXIBILI-43C4F06D,ALL,ALL,Select all that apply (instructional flexibility),"Supports whole-group, small-group, and independent learning",MultiSelect,MixedItemScoring,12,Source,30,True,True,Studios,14
ST-005,ST-005,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-INFRASTRUCTURE,SUB-TRADITIONAL-STUD-INFRASTRUCTU-UTILITIES-AND-TECHNO-ACFE5400,ALL,ALL,Select all that apply (lighting),,MultiSelect,MixedItemScoring,9,Source,40,True,True,Studios,18
ST-006,ST-006,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,SUB-TRADITIONAL-STUD-OCCUPANT-EXP-AESTHETICS-0B606DB8,ALL,ALL,Which of the following describe the color scheme in the space?,"Supports a positive, non-monotonous learning environment",SingleSelect,SingleResponse,6,Source,50,True,True,Studios,21
ST-007,ST-007,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,SUB-TRADITIONAL-STUD-OCCUPANT-EXP-OCCUPANT-COMFORT-A85D88A5,ALL,ALL,Are there exterior windows?,,YesNo,SingleResponse,12,Source,60,True,True,Studios,26
ST-008,ST-008,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,SUB-TRADITIONAL-STUD-OCCUPANT-EXP-OCCUPANT-COMFORT-A85D88A5,ALL,ALL,Select all that apply (exterior windows),Supports wellbeing through connection to the outdoors,MultiSelect,MixedItemScoring,9,Source,70,True,True,Studios,30
ST-009,ST-009,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-OCCUPANT-EXPERIENCE,SUB-TRADITIONAL-STUD-OCCUPANT-EXP-OCCUPANT-COMFORT-A85D88A5,ALL,ALL,What window coverings are provided on exterior windows?,Supports glare control and privacy,SingleSelect,SingleResponse,9,Source,80,True,True,Studios,33
ST-010,ST-010,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-AMENITIES,SUB-TRADITIONAL-STUD-AMENITIES-DISPLAY-AND-PRESENTA-28504B42,ES,ES,"How much writable surface (e.g., markerboard) is provided, excluding glass? Include both fixed and mobile writable surfaces in your count.",,SingleSelect,SingleResponse,12,Source,90,True,True,Studios,39
ST-010-MS-HS-2,ST-010,SRV-STUDIOS,Studios,Studios,SPT-TRADITIONAL-STUDIO,CAT-TRADITIONAL-STUDIO-AMENITIES,SUB-TRADITIONAL-STUD-AMENITIES-DISPLAY-AND-PRESENTA-28504B42,MS+HS,MS+HS,"How much writable surface (e.g., markerboard) is provided, excluding glass? Include both fixed and mobile writable surfaces in your count.",,SingleSelect,SingleResponse,12,Source,100,True,True,Studios,46
