OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-ST-001-01,ST-001,ST-001a,Yes,1,SingleResponse,SR-ST-001-ST-001A,False,10,True
OPT-ST-001-02,ST-001,ST-001a,No,0,SingleResponse,SR-ST-001-ST-001A,False,20,True
OPT-ST-001-03,ST-001,ST-001a,Unable to assess (note reason),,SingleResponse,SR-ST-001-ST-001A,True,30,True
OPT-ST-002-01,ST-002,ST-002a,Primary light fixtures are dimmable,1,SingleResponse,SR-ST-002-ST-002A,False,10,True
OPT-ST-002-02,ST-002,ST-002b,Primary light fixtures are LED,1,SingleResponse,SR-ST-002-ST-002B,False,20,True
OPT-ST-003-01,ST-003,ST-003a,"Good - walls are painted in light colors that can enhance daylighting, and accent color is used to reduce monotony",1,SingleResponse,SR-ST-003-ST-003A,False,10,True
OPT-ST-003-02,ST-003,ST-003a,"Fair - walls are painted in light colors that can enhance daylighting, but no accent color is used",0.5,SingleResponse,SR-ST-003-ST-003A,False,20,True
OPT-ST-003-03,ST-003,ST-003a,Poor - walls are painted in dark or monotonous colors,0,SingleResponse,SR-ST-003-ST-003A,False,30,True
OPT-ST-003-04,ST-003,ST-003a,Unable to assess (note reason),,SingleResponse,SR-ST-003-ST-003A,True,40,True
OPT-ST-004-01,ST-004,ST-004a,Yes,1,SingleResponse,SR-ST-004-ST-004A,False,10,True
OPT-ST-004-02,ST-004,ST-004a,No,0,SingleResponse,SR-ST-004-ST-004A,False,20,True
OPT-ST-004-03,ST-004,ST-004a,Unable to assess (note reason),,SingleResponse,SR-ST-004-ST-004A,True,30,True
OPT-ST-005-01,ST-005,ST-005a,"Access to views of the outdoors (e.g., not solely a view of an exterior wall)",1,SingleResponse,SR-ST-005-ST-005A,False,10,True
OPT-ST-005-02,ST-005,ST-005i,Only clerestory windows are provided,,Inventory,INV-ST-005-ST-005I,False,20,True
OPT-ST-006-01,ST-006,ST-006a,Roller shades are provided,1,SingleResponse,SR-ST-006-ST-006A,False,10,True
OPT-ST-006-02,ST-006,ST-006a,Mini-blinds are provided,0,SingleResponse,SR-ST-006-ST-006A,False,20,True
OPT-ST-006-03,ST-006,ST-006a,Other (please note),0,SingleResponse,SR-ST-006-ST-006A,False,30,True
OPT-ST-006-04,ST-006,ST-006a,No window coverings are provided,0,SingleResponse,SR-ST-006-ST-006A,False,40,True
OPT-ST-006-05,ST-006,ST-006a,Unable to assess (note reason),,SingleResponse,SR-ST-006-ST-006A,True,50,True
OPT-ST-007-01,ST-007,ST-007i,Built-in casework is provided,,Inventory,INV-ST-007-ST-007I,False,10,True
