Focus Area,Space Type,School Level,Required,Focus Area (Scoring),Space Type Weight,Focus Area Weight,Score Code
On Survey tool: Category to navigate to surveys,Survey taken,,Is this survey required at the given school level?,Back end scoring: The focus area the survey rolls into,Back end scoring: Weighting of each space type within the focus area,Back end scoring: Weighting of each focus areas within the Site Score,
Arrival/Administration,Main Admin Suite,ES,Y,Arrival/Administration,12,6,MA
Arrival/Administration,Community Partners Suite,ES,Y,Arrival/Administration,6,6,CP
Arrival/Administration,Admin Offices,ES,Y,Arrival/Administration,9,6,AD
Arrival/Administration,Professional Learning Center,ES,Y,Arrival/Administration,9,6,PL
Arrival/Administration,Mental Wellness and Counseling Suite,ES,Y,Arrival/Administration,12,6,CO
Studios,Early childhood studio,ES,Y,Studios,12,12,PK
Studios,Early childhood special education studio,ES,Y,Special Education,12,12,PS
Studios,Tranditional Studio,ES,Y,Studios,12,12,ST
Studios,Sped Flex Studio,ES,Y,Special education,12,12,SP
Studios,Sensory Lab,ES,Y,Special education,9,12,SN
Studios,Life Skills Room,ES,N,Special education,3,12,LS
Studios,Art,ES,Y,Studios,12,12,AR
Studios,Music,ES,Y,Studios,12,12,MU
Studios,Maker Space,ES,Y,Studios,9,12,MS
Studios,Science,ES,N,Studios,3,12,SC
Neighborhoods,Open Collaboration,ES,Y,Neighborhoods,12,9,OC
Neighborhoods,Small Group Room,ES,Y,Neighborhoods,9,9,SG
Neighborhoods,Neighborhood,ES,Y,Neighborhoods,12,9,NE
Shared Spaces,Gym,ES,Y,Shared Spaces,12,9,GY
Shared Spaces,Media Center,ES,Y,Shared Spaces,12,9,MC
Shared Spaces,Food Service,ES,Y,Shared Spaces,12,9,FS
Shared Spaces,Empower Center,ES,N,Shared Spaces,3,9,EC
Outdoor Elements,Outdoor Spaces,ES,Y,Outdoor Elements,12,9,OS
Arrival/Administration,Main Admin Suite,MS,Y,Arrival/Administration,12,6,MA
Arrival/Administration,Community Partners Suite,MS,Y,Arrival/Administration,6,6,CP
Arrival/Administration,Admin Offices,MS,Y,Arrival/Administration,9,6,AD
Arrival/Administration,Professional Learning Center,MS,Y,Arrival/Administration,9,6,PL
Arrival/Administration,Mental Wellness and Counseling Suite,MS,Y,Arrival/Administration,12,6,CO
