Focus Area (Survey),Space Type,School Level,Required,Notes,Focus Area (Scoring),Space Type Weight,Focus Area Weight
Arrival/Main Office,Main Entry/Reception,ES,Y,,Arrival/Main Office,12,6
Arrival/Main Office,Main Admin Suite,ES,Y,,Arrival/Main Office,12,6
Arrival/Main Office,Community Partners Suite,ES,Y,,Arrival/Main Office,6,6
Administration,Admin Offices,ES,Y,Assess 2 offices or 3 if there are varying conditions,Admin,9,6
Administration,Professional Learning Center,ES,Y,Should be assessed per neighborhood,Admin,9,6
Administration,Mental Wellness and Counseling Suite,ES,Y,,Admin,12,6
Studios,Early childhood studio,ES,Y,Assess 1 representative room. Include a 2nd room if conditions vary.,Early Childhood,12,12
Studios,Early childhood special education studio,ES,Y,Assess 1 representative room. Include a 2nd room if conditions vary.,Special Education,12,12
Studios,Tranditional Studio,ES,Y,Two per neighborhood based on medium sized school,Studio,12,12
Studios,Sped Flex Studio,ES,Y,Assess 1 representative room. Include a 2nd room if conditions vary.,Special education,12,12
Studios,Sensory Lab,ES,Y,,Special education,9,12
Studios,Life Skills Room,ES,N,,Special education,3,12
Studios,Art,ES,Y,The assessor should review the room that was designed to be an art room,Specials,12,12
Studios,Music,ES,Y,The assessor should review the room that was designed to be a music room,Specials,12,12
Studios,Maker Space,ES,Y,The assessor should review the room that was designed to be a maker space,Specials,9,12
Studios,Science,ES,N,The assessor should review the room that was designed to be a maker space,Specials,3,12
Neighborhoods,Open Collaboration,ES,Y,Should be assessed per neighborhood,Neighborhood,12,9
Neighborhoods,Small Group Room,ES,Y,Should be assessed per neighborhood,Neighborhood,9,9
Neighborhoods,Neighborhood,ES,Y,The assessor should complete for each neighborhood,Neighborhood,12,9
Athletics and Wellness,Gym,ES,Y,,Athletics and Wellness,12,9
Shared Spaces,Media Center,ES,Y,,Shared Spaces,12,9
Shared Spaces,Food Service,ES,Y,,Shared Spaces,12,9
Shared Spaces,Empower Center,ES,N,,Shared Spaces,3,9
