SurveyID,School,Building,RoomID,RoomNumber,RoomType,GradeType,QuestionID,Response,Comment
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-001,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-002,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-003,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-004,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-005,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-006,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-007,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-008,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-009,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-010,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-011,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-012,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-013,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-014,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-015,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-016,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-017,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-018,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-019,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-020,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-021,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-022,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-023,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-024,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-025,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-026,,
AISD-2026-001,Example ES,Main,R-101,101,Studios,Elementary,ST-027,,
