school_name,school_level,class_code,campus_id,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Mezzanine,UpdatedName
AKINS,High School,HIGH,017,,ATKINS ECHS L1.svg,ATKINS ECHS L2.svg,,,,,Akins ECHS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
ALC,Alternative Education,ALT ED 1,012,,ATKINS ECHS L1.svg,,,,,,ALC and JJAEP at Sims Facility
Note: This survey will be distributed later this fall after your campus has had time to occupy and become familiar with your new spaces.,,,,,,,,,,,
ALLISON,Elementary School,ELEM,101,,ALLISON ES L1.svg,,,,,,Allison ES
Note: This survey will be distributed later this fall after your campus has had time to occupy and become familiar with its newly modernized spaces delivered in Summer 2026.,,,,,,,,,,,
ANDERSON,High School,HIGH,009,,ANDERSON HS L1.svg,ANDERSON HS L2.svg,ANDERSON HS L3.svg,,,,Anderson HS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
ANDREWS,Elementary School,ELEM,102,ANDREWS ES LB.svg,ANDREWS ES L1.svg,,,,,,Andrews ES
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted after your full modernization project has been completed and the campus is occupying the new facility.,,,,,,,,,,,
AUSTIN,High School,HIGH,002,,AUSTIN HS L1.svg,AUSTIN HS L2.svg,AUSTIN HS L3.svg,,,,Austin HS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
BAILEY,Middle School,MID,059,,BAILEY MS L1.svg,BAILEY MS L2.svg,,,,,Bailey MS
BALDWIN,Elementary School,ELEM,187,,BALDWIN ES L1_updated.svg,BALDWIN ES L2_updated.svg,,,,,Baldwin ES
BARANOFF,Elementary School,ELEM,182,,BARANOFF ES.svg,,,,,,Baranoff ES
BARRINGTON,Elementary School,ELEM,149,BARRINGTON ES LB_updated.svg,BARRINGTON ES L1.svg,,,,,BARRINGTON ES LM.svg,Barrington ES
BARTON HILLS,Elementary School,ELEM,103,BARTON HILLS ES L1.svg,BARTON HILLS ES L2.svg,,,,,,Barton Hills ES
BEAR CREEK,Elementary School,ELEM,195,,BEAR CREEK ES L1.svg,BEAR CREEK ES L2.svg,BEAR CREEK ES L3.svg,,,,Bear Creek ES
BECKER,Elementary School,ELEM,104,,BECKER ES L1.svg,BECKER ES L2.svg,,,,,Becker ES
BEDICHEK,Middle School,MID,054,,BEDICHEK MS L1.svg,BEDICHEK MS L2.svg,,,,,Bedichek MS
